49726 1161
0 0 1
0 1 1
0 2 1
0 3 1
1 4 1
1 5 1
1 6 1
1 7 1
2 4 1
2 5 1
2 6 1
2 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
4 13 1
4 14 1
5 13 1
5 14 1
6 13 1
6 14 1
7 15 1
7 16 1
8 0 1
8 1 1
8 2 1
8 3 1
9 17 1
9 18 1
10 0 1
10 1 1
10 2 1
10 19 1
10 20 1
10 21 1
10 22 1
11 0 1
11 1 1
11 2 1
11 19 1
11 20 1
11 21 1
11 22 1
12 0 1
12 1 1
12 2 1
12 19 1
12 20 1
12 21 1
12 22 1
13 0 1
13 1 1
13 2 1
13 19 1
13 20 1
13 21 1
13 22 1
14 0 1
14 1 1
14 2 1
14 19 1
14 20 1
14 21 1
14 22 1
15 0 1
15 1 1
15 2 1
15 20 1
15 21 1
15 22 1
16 0 1
16 1 1
16 2 1
16 20 1
16 21 1
16 22 1
17 0 1
17 1 1
17 2 1
17 20 1
17 21 1
17 22 1
18 0 1
18 1 1
18 2 1
18 20 1
18 21 1
18 22 1
19 0 1
19 1 1
19 2 1
19 20 1
19 21 1
19 22 1
20 0 1
20 1 1
20 2 1
20 20 1
20 21 1
20 22 1
21 0 1
21 1 1
21 2 1
21 20 1
21 21 1
21 22 1
22 0 1
22 1 1
22 2 1
22 20 1
22 21 1
22 22 1
23 0 1
23 1 1
23 2 1
23 20 1
23 21 1
23 22 1
24 0 1
24 1 1
24 2 1
24 20 1
24 21 1
24 22 1
25 0 1
25 1 1
25 2 1
25 20 1
25 21 1
25 22 1
26 0 1
26 1 1
26 2 1
26 20 1
26 21 1
26 22 1
27 0 1
27 1 1
27 2 1
27 20 1
27 21 1
27 22 1
28 0 1
28 1 1
28 2 1
28 20 1
28 21 1
28 22 1
29 0 1
29 1 1
29 2 1
29 20 1
29 21 1
29 22 1
30 0 1
30 1 1
30 2 1
30 20 1
30 21 1
30 22 1
31 0 1
31 1 1
31 2 1
31 20 1
31 21 1
31 22 1
32 0 1
