1514 581
0 0 1
0 1 1
1 2 1
1 3 1
1 4 1
2 5 1
2 6 1
2 7 1
3 5 1
3 6 1
3 7 1
4 8 1
4 9 1
5 10 1
5 11 1
5 12 1
6 10 1
6 11 1
6 12 1
7 13 1
7 14 1
8 15 1
8 16 1
9 15 1
9 16 1
10 15 1
10 16 1
11 13 1
11 14 1
11 17 1
12 13 1
12 14 1
12 17 1
13 13 1
13 14 1
13 17 1
14 13 1
14 14 1
14 17 1
15 13 1
15 14 1
15 17 1
16 14 1
16 16 1
16 18 1
17 15 1
17 16 1
18 15 1
18 16 1
19 14 1
19 16 1
19 18 1
20 15 1
20 16 1
21 15 1
21 16 1
22 14 1
22 16 1
22 18 1
23 17 1
24 17 1
25 17 1
26 17 1
27 19 1
27 20 1
28 19 1
28 20 1
29 17 1
30 17 1
31 17 1
32 17 1
33 17 1
34 17 1
35 21 1
35 22 1
36 21 1
36 22 1
37 21 1
37 22 1
38 21 1
38 22 1
39 23 1
39 24 1
39 25 1
40 23 1
40 24 1
40 25 1
41 26 1
41 27 1
42 26 1
42 27 1
43 28 1
43 29 1
44 28 1
44 29 1
45 28 1
45 29 1
46 28 1
46 29 1
47 17 1
48 30 1
48 31 1
49 30 1
49 31 1
50 32 1
50 33 1
51 32 1
51 33 1
52 28 1
52 29 1
53 28 1
53 29 1
54 28 1
54 29 1
55 34 1
55 35 1
56 8 1
56 9 1
57 36 1
57 37 1
58 28 1
58 38 1
59 28 1
59 29 1
60 28 1
60 29 1
61 28 1
61 29 1
62 28 1
62 38 1
63 39 1
63 40 1
63 41 1
63 42 1
63 43 1
64 39 1
64 40 1
64 41 1
64 42 1
64 43 1
65 39 1
65 40 1
65 41 1
65 42 1
65 43 1
66 44 1
66 45 1
67 46 1
67 47 1
67 48 1
67 49 1
68 50 1
68 51 1
68 52 1
69 50 1
69 51 1
69 52 1
70 50 1
70 51 1
70 52 1
71 53 1
71 54 1
72 50 1
72 51 1
72 52 1
73 50 1
73 51 1
73 52 1
74 50 1
