112919 5556
0 0 1
0 1 1
1 2 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 3 1
11 5 1
12 10 1
13 3 1
14 11 1
15 3 1
16 3 1
17 12 1
18 13 1
19 13 1
20 13 1
21 14 1
22 15 1
22 16 1
22 17 1
22 18 1
23 3 1
24 10 1
25 3 1
26 5 1
27 19 1
28 3 1
29 10 1
30 20 1
31 3 1
32 3 1
33 3 1
34 3 1
35 3 1
36 3 1
37 3 1
38 3 1
39 10 1
40 3 1
41 3 1
42 3 1
43 3 1
44 3 1
45 3 1
46 3 1
47 3 1
48 3 1
49 3 1
50 3 1
51 3 1
52 3 1
53 3 1
54 3 1
55 3 1
56 3 1
57 3 1
58 3 1
59 3 1
60 3 1
61 3 1
62 3 1
63 3 1
64 10 1
65 3 1
66 3 1
67 3 1
68 3 1
69 21 1
69 22 1
70 3 1
71 3 1
72 3 1
73 3 1
74 3 1
75 3 1
76 3 1
77 23 1
78 24 1
79 3 1
80 25 1
80 26 1
81 10 1
82 5 1
83 3 1
84 27 1
85 3 1
86 10 1
87 28 1
88 29 1
89 30 1
89 31 1
89 32 1
89 33 1
89 34 1
89 35 1
89 36 1
89 37 1
89 38 1
89 39 1
89 40 1
89 41 1
90 35 1
91 42 1
92 43 1
93 35 1
94 42 1
95 43 1
96 44 1
97 31 1
98 45 1
99 38 1
100 46 1
101 47 1
102 44 1
103 31 1
104 45 1
105 38 1
106 46 1
107 47 1
108 3 1
109 3 1
110 48 1
110 49 1
110 50 1
110 51 1
110 52 1
110 53 1
110 54 1
111 48 1
111 49 1
111 50 1
111 51 1
111 52 1
111 53 1
111 54 1
112 48 1
112 49 1
112 50 1
112 51 1
112 52 1
112 53 1
112 54 1
113 48 1
113 49 1
113 50 1
113 51 1
113 52 1
113 53 1
113 54 1
114 48 1
114 49 1
114 50 1
114 51 1
114 53 1
115 55 1
116 55 1
117 55 1
118 56 1
119 56 1
120 56 1
121 56 1
122 57 1
123 57 1
