29981 2778
0 0 1
1 1 1
2 2 1
3 2 1
4 3 1
5 4 1
6 4 1
7 5 1
8 6 1
9 6 1
10 6 1
11 5 1
11 7 1
12 5 1
12 7 1
13 5 1
13 7 1
14 5 1
14 7 1
15 5 1
15 7 1
16 8 1
17 6 1
18 6 1
19 8 1
20 6 1
21 6 1
22 8 1
23 7 1
24 7 1
25 7 1
26 7 1
27 9 1
28 9 1
29 7 1
30 7 1
31 7 1
32 7 1
33 7 1
34 7 1
35 10 1
36 10 1
37 10 1
38 10 1
39 11 1
40 11 1
41 12 1
42 13 1
43 14 1
44 14 1
45 15 1
46 15 1
47 15 1
48 15 1
49 7 1
50 16 1
51 16 1
52 17 1
53 17 1
54 15 1
55 15 1
56 18 1
57 19 1
58 3 1
59 20 1
60 20 1
61 21 1
62 20 1
63 20 1
64 15 1
65 15 1
66 15 1
67 20 1
68 20 1
69 20 1
70 13 1
71 22 1
72 22 1
73 22 1
74 23 1
75 24 1
76 25 1
77 24 1
78 26 1
79 26 1
80 26 1
81 27 1
82 26 1
83 26 1
84 26 1
85 28 1
86 28 1
87 29 1
88 29 1
89 29 1
90 30 1
91 30 1
92 30 1
93 30 1
94 30 1
95 31 1
96 31 1
97 32 1
98 32 1
99 33 1
100 34 1
101 34 1
102 32 1
103 32 1
104 31 1
105 31 1
106 35 1
107 35 1
108 35 1
109 35 1
110 35 1
110 36 1
111 37 1
112 37 1
113 33 1
114 38 1
115 38 1
116 38 1
117 27 1
118 27 1
119 27 1
120 39 1
121 39 1
122 40 1
123 40 1
124 41 1
125 40 1
126 42 1
127 42 1
128 43 1
129 43 1
130 44 1
131 45 1
132 45 1
133 45 1
134 46 1
135 47 1
136 47 1
137 47 1
138 47 1
139 48 1
140 48 1
141 48 1
142 48 1
143 48 1
144 48 1
145 49 1
146 49 1
147 49 1
148 49 1
149 50 1
150 50 1
151 51 1
152 52 1
153 52 1
154 52 1
155 53 1
156 54 1
156 55 1
157 56 1
157 57 1
157 58 1
157 59 1
157 60 1
157 61 1
157 62 1
157 63 1
157 64 1
157 65 1
157 66 1
157 67 1
157 68 1
158 69 1
159 70 1
160 71 1
161 72 1
162 73 1
163 70 1
164 74 1
165 74 1
166 75 1
166 76 1
167 75 1
167 76 1
168 75 1
168 76 1
169 71 1
170 75 1
171 71 1
172 75 1
173 77 1
174 78 1
175 78 1
176 72 1
176 79 1
177 75 1
178 70 1
179 70 1
180 80 1
181 81 1
182 81 1
183 81 1
184 77 1
185 77 1
186 82 1
187 83 1
188 84 1
189 84 1
190 75 1
190 76 1
191 75 1
191 76 1
192 72 1
192 79 1
193 85 1
193 86 1
194 82 1
195 82 1
196 82 1
197 85 1
197 86 1
198 85 1
198 86 1
199 82 1
200 85 1
201 85 1
202 85 1
203 87 1
204 88 1
205 89 1
206 89 1
207 90 1
208 81 1
209 91 1
209 92 1
210 77 1
211 93 1
211 94 1
212 93 1
212 94 1
213 95 1
214 93 1
214 94 1
215 93 1
215 94 1
216 77 1
217 78 1
218 78 1
219 96 1
220 96 1
221 87 1
222 97 1
223 97 1
224 98 1
224 99 1
225 98 1
225 99 1
226 98 1
226 99 1
227 98 1
227 99 1
228 98 1
228 99 1
229 90 1
230 100 1
230 101 1
230 102 1
230 103 1
231 104 1
231 105 1
231 106 1
231 107 1
231 108 1
232 109 1
233 109 1
234 110 1
235 110 1
236 100 1
236 101 1
236 102 1
236 103 1
237 100 1
237 101 1
237 102 1
237 103 1
237 111 1
237 112 1
237 113 1
237 114 1
237 115 1
238 100 1
238 101 1
238 102 1
238 103 1
238 111 1
238 112 1
238 113 1
238 114 1
238 115 1
239 116 1
239 117 1
239 118 1
239 119 1
240 120 1
241 121 1
242 116 1
242 117 1
242 118 1
243 122 1
243 123 1
243 124 1
243 125 1
243 126 1
243 127 1
243 128 1
243 129 1
243 130 1
243 131 1
243 132 1
243 133 1
243 134 1
243 135 1
243 136 1
243 137 1
243 138 1
243 139 1
243 140 1
243 141 1
243 142 1
243 143 1
243 144 1
244 119 1
245 119 1
246 110 1
247 122 1
247 123 1
247 124 1
247 125 1
247 126 1
247 127 1
247 128 1
247 129 1
247 130 1
247 131 1
247 132 1
247 133 1
247 134 1
247 135 1
247 136 1
247 137 1
247 138 1
247 139 1
247 140 1
247 141 1
247 142 1
247 143 1
247 144 1
248 110 1
249 145 1
250 122 1
250 123 1
250 124 1
250 125 1
250 126 1
250 127 1
250 128 1
250 129 1
250 130 1
250 131 1
250 132 1
250 133 1
250 134 1
250 135 1
250 136 1
250 137 1
250 138 1
250 139 1
250 140 1
250 141 1
250 142 1
250 143 1
250 144 1
251 119 1
252 109 1
253 109 1
254 109 1
255 116 1
255 117 1
255 118 1
255 119 1
256 146 1
257 147 1
258 147 1
259 87 1
260 87 1
261 148 1
262 148 1
263 148 1
264 148 1
265 86 1
265 149 1
266 150 1
267 150 1
268 150 1
269 150 1
270 151 1
271 151 1
272 151 1
273 152 1
274 153 1
275 154 1
276 154 1
277 154 1
278 154 1
279 155 1
280 155 1
281 155 1
282 155 1
283 155 1
284 155 1
285 155 1
286 155 1
287 155 1
288 155 1
289 155 1
290 155 1
291 156 1
292 157 1
293 158 1
294 159 1
295 159 1
296 160 1
297 160 1
298 160 1
299 159 1
300 159 1
301 159 1
302 159 1
303 159 1
304 161 1
305 161 1
306 161 1
307 161 1
308 162 1
308 163 1
309 164 1
310 164 1
311 164 1
312 159 1
313 159 1
314 165 1
315 166 1
316 167 1
317 167 1
318 168 1
319 169 1
320 169 1
321 170 1
322 169 1
323 169 1
324 171 1
325 168 1
326 172 1
327 172 1
328 173 1
329 170 1
330 168 1
331 170 1
332 168 1
333 174 1
334 173 1
335 172 1
336 173 1
337 173 1
338 174 1
339 173 1
340 173 1
341 172 1
342 175 1
343 175 1
344 173 1
345 173 1
346 172 1
347 176 1
348 177 1
349 178 1
350 177 1
351 179 1
352 180 1
353 181 1
354 181 1
355 174 1
356 182 1
357 181 1
358 176 1
359 183 1
360 175 1
361 183 1
362 179 1
363 176 1
364 175 1
365 184 1
366 179 1
367 175 1
368 185 1
369 182 1
370 174 1
371 168 1
372 182 1
373 174 1
374 168 1
375 186 1
376 182 1
377 169 1
378 187 1
379 188 1
380 182 1
381 182 1
382 182 1
383 189 1
384 181 1
385 182 1
386 182 1
387 190 1
388 182 1
389 182 1
390 187 1
391 182 1
392 182 1
393 182 1
394 182 1
395 182 1
396 183 1
397 182 1
398 181 1
399 190 1
400 191 1
401 192 1
402 192 1
403 174 1
404 193 1
405 194 1
406 194 1
407 194 1
408 195 1
409 195 1
410 193 1
411 193 1
412 193 1
413 193 1
414 193 1
415 193 1
416 190 1
417 190 1
418 192 1
419 192 1
420 196 1
421 196 1
422 182 1
423 182 1
424 197 1
425 174 1
426 189 1
427 198 1
428 182 1
429 190 1
430 193 1
431 182 1
432 199 1
433 199 1
434 200 1
435 201 1
436 202 1
437 203 1
438 203 1
439 203 1
440 204 1
441 205 1
442 206 1
443 206 1
444 207 1
445 208 1
446 209 1
447 210 1
448 210 1
449 210 1
450 211 1
451 212 1
452 213 1
452 214 1
453 215 1
454 215 1
455 215 1
456 215 1
457 210 1
458 213 1
458 214 1
459 216 1
460 217 1
460 218 1
461 218 1
461 219 1
462 220 1
462 221 1
463 220 1
463 221 1
464 218 1
464 222 1
465 223 1
466 224 1
467 225 1
467 226 1
468 227 1
469 224 1
470 228 1
471 229 1
472 230 1
473 224 1
473 231 1
474 232 1
475 224 1
475 231 1
476 233 1
476 234 1
476 235 1
477 229 1
478 236 1
479 230 1
480 237 1
481 228 1
482 228 1
483 238 1
484 224 1
484 231 1
484 239 1
485 240 1
486 224 1
486 231 1
486 239 1
487 224 1
488 241 1
489 242 1
490 233 1
490 243 1
491 243 1
491 244 1
492 233 1
492 234 1
492 235 1
492 243 1
492 245 1
493 246 1
494 237 1
495 247 1
496 248 1
497 224 1
497 231 1
498 233 1
498 234 1
498 243 1
499 233 1
499 234 1
499 243 1
499 244 1
500 233 1
500 234 1
500 243 1
500 249 1
501 233 1
501 234 1
501 243 1
502 243 1
502 244 1
503 233 1
503 234 1
503 243 1
503 249 1
504 243 1
504 244 1
505 233 1
505 243 1
506 224 1
506 231 1
506 239 1
507 250 1
508 227 1
509 251 1
510 250 1
511 252 1
512 252 1
513 253 1
514 254 1
514 255 1
515 227 1
516 256 1
517 4 1
518 4 1
519 257 1
519 258 1
520 259 1
520 260 1
520 261 1
520 262 1
521 263 1
522 263 1
523 263 1
524 263 1
525 263 1
526 263 1
527 263 1
528 263 1
529 263 1
530 257 1
530 258 1
531 257 1
531 258 1
532 264 1
532 265 1
532 266 1
533 267 1
533 268 1
534 216 1
535 269 1
536 270 1
537 216 1
538 216 1
539 248 1
540 271 1
541 272 1
542 224 1
543 271 1
543 273 1
544 228 1
545 216 1
546 229 1
547 271 1
548 274 1
549 274 1
550 275 1
551 276 1
552 276 1
553 277 1
554 278 1
555 279 1
556 280 1
557 280 1
558 281 1
559 282 1
560 282 1
561 282 1
562 282 1
563 283 1
564 18 1
564 283 1
565 284 1
566 284 1
567 285 1
568 286 1
569 286 1
570 287 1
571 287 1
572 288 1
573 288 1
574 288 1
575 86 1
575 288 1
576 86 1
576 288 1
577 289 1
578 290 1
579 18 1
580 20 1
581 291 1
582 291 1
583 291 1
584 291 1
585 292 1
586 292 1
587 293 1
588 289 1
589 294 1
589 295 1
590 296 1
591 297 1
592 86 1
592 297 1
593 86 1
593 297 1
594 297 1
595 297 1
596 298 1
597 299 1
597 300 1
598 299 1
598 300 1
599 300 1
600 300 1
601 301 1
602 301 1
603 301 1
604 301 1
605 302 1
606 302 1
607 256 1
608 256 1
609 303 1
610 303 1
611 303 1
612 303 1
613 303 1
614 256 1
615 304 1
616 304 1
617 304 1
618 304 1
619 305 1
620 305 1
621 306 1
621 307 1
621 308 1
622 306 1
622 308 1
623 307 1
623 309 1
624 308 1
624 310 1
625 258 1
625 308 1
625 310 1
626 306 1
626 307 1
626 308 1
627 307 1
627 311 1
628 307 1
629 307 1
629 309 1
630 307 1
630 309 1
631 307 1
632 307 1
632 312 1
633 307 1
633 308 1
633 312 1
634 307 1
634 312 1
635 307 1
635 308 1
635 312 1
636 307 1
636 313 1
637 307 1
637 313 1
638 307 1
638 312 1
639 258 1
639 307 1
639 308 1
640 258 1
640 307 1
640 313 1
641 312 1
642 307 1
643 307 1
644 258 1
644 308 1
645 258 1
645 308 1
645 309 1
646 307 1
646 308 1
646 312 1
647 258 1
647 308 1
647 310 1
648 307 1
648 312 1
649 307 1
649 312 1
650 307 1
650 312 1
651 307 1
651 312 1
652 307 1
653 307 1
654 307 1
654 308 1
654 312 1
655 258 1
655 307 1
656 258 1
656 307 1
656 308 1
656 312 1
657 258 1
657 308 1
657 310 1
658 307 1
659 307 1
660 307 1
661 264 1
661 265 1
661 266 1
662 264 1
662 265 1
662 266 1
663 264 1
663 265 1
663 266 1
664 264 1
664 265 1
664 266 1
665 314 1
666 314 1
667 264 1
667 265 1
667 266 1
668 227 1
669 227 1
670 79 1
670 243 1
670 315 1
670 316 1
670 317 1
670 318 1
670 319 1
670 320 1
670 321 1
670 322 1
670 323 1
670 324 1
670 325 1
670 326 1
670 327 1
670 328 1
671 79 1
671 243 1
671 318 1
671 319 1
671 320 1
671 321 1
671 322 1
671 323 1
671 324 1
671 325 1
671 326 1
671 329 1
671 330 1
671 331 1
672 332 1
673 333 1
674 333 1
674 334 1
675 335 1
676 335 1
677 335 1
678 336 1
679 337 1
680 338 1
681 338 1
682 339 1
683 339 1
684 339 1
685 339 1
686 340 1
687 202 1
688 282 1
689 282 1
690 320 1
690 329 1
690 341 1
690 342 1
690 343 1
690 344 1
690 345 1
690 346 1
691 347 1
691 348 1
691 349 1
691 350 1
691 351 1
692 352 1
693 212 1
693 353 1
693 354 1
693 355 1
693 356 1
694 357 1
694 358 1
695 357 1
696 357 1
696 358 1
697 358 1
698 359 1
699 320 1
699 321 1
699 325 1
699 360 1
700 333 1
701 361 1
702 190 1
703 190 1
704 190 1
705 190 1
706 347 1
707 183 1
708 183 1
709 183 1
710 362 1
711 362 1
712 362 1
713 363 1
714 363 1
715 363 1
716 364 1
717 364 1
718 364 1
719 364 1
719 365 1
720 364 1
721 364 1
722 364 1
723 364 1
724 366 1
725 364 1
726 162 1
727 162 1
728 162 1
729 162 1
730 162 1
731 162 1
732 162 1
733 162 1
733 174 1
734 162 1
734 174 1
735 162 1
735 174 1
736 162 1
736 174 1
737 367 1
737 368 1
738 367 1
738 368 1
739 367 1
739 368 1
740 367 1
740 368 1
741 367 1
741 368 1
742 367 1
742 368 1
743 367 1
743 368 1
744 369 1
745 369 1
746 369 1
747 369 1
748 370 1
749 370 1
750 371 1
751 371 1
752 371 1
753 372 1
754 372 1
755 373 1
756 374 1
757 374 1
758 374 1
759 375 1
760 375 1
761 376 1
762 376 1
763 376 1
764 376 1
765 376 1
766 376 1
767 377 1
768 377 1
769 377 1
770 377 1
771 378 1
772 378 1
773 378 1
774 378 1
775 378 1
776 378 1
777 373 1
778 369 1
779 369 1
780 369 1
781 369 1
782 371 1
783 371 1
784 377 1
785 379 1
786 379 1
787 379 1
788 379 1
789 379 1
790 380 1
791 380 1
792 380 1
793 4 1
794 4 1
795 4 1
796 381 1
797 381 1
798 381 1
799 381 1
800 381 1
801 381 1
802 382 1
803 382 1
804 383 1
805 383 1
805 384 1
806 383 1
807 385 1
808 386 1
809 386 1
810 386 1
811 386 1
812 386 1
813 387 1
814 388 1
815 388 1
816 382 1
817 382 1
818 383 1
819 389 1
820 390 1
821 390 1
822 378 1
823 378 1
824 391 1
825 392 1
826 392 1
827 392 1
828 393 1
829 393 1
830 393 1
831 394 1
832 394 1
833 395 1
834 396 1
835 397 1
836 397 1
837 396 1
838 398 1
839 398 1
840 399 1
841 400 1
842 401 1
843 402 1
844 339 1
845 403 1
846 198 1
847 404 1
848 404 1
849 282 1
850 282 1
851 405 1
852 406 1
853 406 1
854 406 1
855 407 1
856 407 1
857 407 1
858 408 1
859 408 1
860 408 1
861 409 1
862 409 1
863 409 1
864 409 1
865 410 1
866 410 1
867 410 1
868 411 1
869 411 1
870 155 1
871 155 1
872 155 1
873 155 1
874 155 1
875 155 1
876 155 1
877 85 1
878 85 1
879 85 1
880 85 1
880 86 1
881 85 1
881 86 1
882 406 1
883 412 1
884 412 1
885 412 1
886 413 1
887 45 1
888 414 1
889 45 1
890 415 1
891 415 1
892 415 1
892 416 1
893 415 1
893 416 1
894 417 1
895 417 1
896 417 1
897 407 1
898 418 1
899 418 1
900 419 1
901 419 1
