1170 164
0 0 1
0 1 1
1 2 1
1 3 1
2 4 1
2 5 1
3 6 1
3 7 1
4 8 1
4 9 1
5 10 1
5 11 1
6 12 1
6 13 1
7 14 1
7 15 1
8 16 1
8 17 1
9 18 1
9 19 1
10 20 1
10 21 1
11 22 1
11 23 1
11 24 1
12 25 1
12 26 1
13 27 1
13 28 1
14 29 1
14 30 1
15 31 1
15 32 1
16 33 1
16 34 1
17 35 1
17 36 1
18 37 1
18 38 1
19 6 1
19 39 1
20 40 1
20 41 1
21 42 1
21 43 1
22 44 1
22 45 1
23 46 1
23 47 1
24 48 1
24 49 1
25 2 1
25 50 1
26 26 1
26 51 1
27 35 1
27 52 1
28 40 1
28 53 1
29 54 1
29 55 1
30 55 1
30 56 1
31 57 1
31 58 1
32 59 1
32 60 1
33 61 1
33 62 1
34 0 1
34 1 1
35 2 1
35 3 1
36 4 1
36 5 1
37 6 1
37 7 1
38 8 1
38 9 1
39 10 1
39 11 1
40 20 1
40 63 1
41 15 1
41 64 1
42 12 1
42 13 1
43 18 1
43 19 1
44 20 1
44 21 1
45 65 1
45 66 1
46 22 1
46 23 1
46 24 1
47 41 1
47 67 1
48 29 1
48 30 1
49 61 1
49 68 1
50 33 1
50 34 1
51 69 1
51 70 1
52 37 1
52 38 1
53 6 1
53 39 1
54 20 1
54 41 1
55 42 1
55 43 1
56 44 1
56 45 1
57 46 1
57 47 1
58 48 1
58 49 1
59 5 1
59 71 1
60 2 1
60 50 1
61 26 1
61 51 1
62 35 1
62 52 1
63 72 1
63 73 1
64 55 1
64 56 1
65 57 1
65 58 1
66 59 1
66 60 1
67 74 1
67 75 1
68 0 1
68 1 1
69 2 1
69 3 1
70 6 1
70 7 1
70 39 1
71 8 1
71 9 1
72 10 1
72 11 1
73 20 1
73 63 1
74 15 1
74 64 1
75 17 1
75 76 1
76 12 1
76 13 1
77 18 1
77 19 1
78 20 1
78 21 1
79 22 1
79 23 1
79 24 1
80 25 1
80 26 1
81 76 1
81 77 1
82 76 1
