345 121
0 0 1
0 1 1
1 0 1
1 2 1
2 3 1
2 4 1
3 4 1
3 5 1
4 6 1
4 7 1
5 8 1
5 9 1
6 3 1
6 6 1
7 10 1
7 11 1
8 0 1
8 1 1
9 0 1
9 2 1
10 12 1
10 13 1
11 4 1
11 5 1
12 6 1
12 7 1
13 8 1
13 9 1
14 3 1
14 6 1
15 14 1
15 15 1
16 0 1
16 2 1
16 16 1
17 0 1
17 1 1
17 16 1
18 17 1
18 18 1
19 8 1
19 9 1
20 19 1
20 20 1
21 3 1
21 6 1
22 17 1
22 21 1
23 10 1
23 11 1
24 14 1
24 15 1
25 0 1
25 1 1
25 16 1
26 0 1
26 2 1
26 16 1
27 4 1
27 6 1
28 17 1
28 18 1
29 6 1
29 7 1
30 8 1
30 9 1
31 22 1
31 23 1
32 3 1
32 6 1
33 24 1
33 25 1
34 26 1
34 27 1
35 0 1
35 1 1
36 0 1
36 2 1
37 12 1
37 13 1
38 8 1
38 9 1
39 22 1
39 28 1
40 3 1
40 6 1
41 29 1
41 30 1
42 31 1
42 32 1
43 33 1
43 34 1
43 35 1
44 36 1
44 37 1
45 38 1
45 39 1
46 40 1
46 41 1
47 8 1
47 9 1
48 35 1
48 42 1
49 31 1
49 43 1
50 26 1
50 27 1
51 20 1
51 28 1
52 44 1
52 45 1
53 24 1
53 46 1
54 33 1
54 34 1
54 47 1
55 29 1
55 34 1
56 48 1
56 49 1
57 0 1
57 2 1
58 42 1
58 50 1
59 44 1
59 50 1
60 33 1
60 51 1
61 0 1
61 1 1
62 36 1
62 37 1
63 12 1
63 13 1
63 52 1
64 38 1
64 39 1
65 8 1
65 9 1
66 20 1
66 22 1
67 22 1
67 53 1
68 35 1
68 42 1
69 29 1
69 35 1
70 26 1
70 27 1
71 29 1
71 51 1
72 44 1
72 54 1
73 55 1
73 56 1
74 24 1
74 46 1
75 33 1
75 34 1
75 35 1
76 34 1
76 35 1
76 51 1
77 29 1
77 34 1
77 51 1
78 33 1
78 35 1
78 47 1
