10885 143
0 0 1
0 1 1
1 0 1
1 2 1
2 0 1
2 3 1
3 0 1
3 4 1
4 0 1
4 1 1
5 0 1
5 1 1
6 0 1
6 3 1
7 0 1
7 1 1
8 0 1
8 1 1
9 0 1
9 1 1
9 3 1
9 5 1
10 0 1
10 1 1
11 0 1
11 1 1
12 0 1
12 1 1
13 0 1
13 4 1
14 0 1
14 1 1
14 2 1
14 3 1
14 4 1
14 5 1
14 6 1
14 7 1
14 8 1
14 9 1
14 10 1
14 11 1
15 0 1
15 5 1
16 0 1
16 5 1
17 0 1
17 7 1
18 0 1
18 1 1
18 3 1
18 5 1
19 0 1
19 5 1
20 0 1
20 5 1
21 0 1
21 5 1
22 0 1
22 5 1
23 0 1
23 5 1
24 0 1
24 5 1
25 0 1
25 5 1
26 0 1
26 1 1
27 0 1
27 5 1
28 0 1
28 5 1
29 0 1
29 5 1
30 0 1
30 1 1
31 0 1
31 1 1
32 0 1
32 6 1
33 0 1
33 1 1
34 0 1
34 1 1
35 0 1
35 7 1
36 0 1
36 1 1
37 0 1
37 5 1
37 7 1
38 0 1
38 5 1
39 0 1
39 3 1
40 7 1
40 8 1
41 0 1
41 1 1
42 0 1
42 5 1
43 4 1
43 5 1
44 1 1
44 3 1
45 0 1
45 5 1
46 0 1
46 8 1
47 0 1
47 8 1
48 0 1
48 1 1
49 0 1
49 1 1
49 5 1
50 0 1
50 1 1
51 0 1
51 1 1
52 0 1
52 1 1
53 0 1
53 5 1
54 3 1
54 5 1
55 3 1
55 5 1
56 0 1
56 5 1
57 0 1
57 5 1
58 0 1
58 7 1
59 0 1
59 1 1
60 0 1
60 12 1
61 1 1
61 3 1
62 0 1
62 1 1
63 1 1
63 5 1
64 0 1
64 1 1
65 0 1
65 1 1
65 3 1
65 5 1
65 13 1
66 1 1
66 3 1
67 1 1
67 14 1
68 0 1
68 1 1
69 1 1
69 13 1
70 0 1
70 1 1
70 3 1
70 5 1
70 13 1
71 3 1
71 5 1
72 3 1
72 5 1
73 0 1
