734 72
0 0 1
0 1 1
1 0 1
1 2 1
1 3 1
2 0 1
2 4 1
3 0 1
3 4 1
4 0 1
4 5 1
5 0 1
5 2 1
6 0 1
6 5 1
7 0 1
7 6 1
8 0 1
8 5 1
9 0 1
9 7 1
10 0 1
10 7 1
11 0 1
11 3 1
12 0 1
12 8 1
13 0 1
13 4 1
14 0 1
14 4 1
15 0 1
15 5 1
16 0 1
16 8 1
16 9 1
17 0 1
17 6 1
17 8 1
17 9 1
17 10 1
17 11 1
18 0 1
18 2 1
19 0 1
19 1 1
20 0 1
20 6 1
21 0 1
21 6 1
22 0 1
22 4 1
23 0 1
23 4 1
23 5 1
24 0 1
24 6 1
25 0 1
25 5 1
25 6 1
26 0 1
26 4 1
27 0 1
27 12 1
28 0 1
28 2 1
29 0 1
29 2 1
29 3 1
30 0 1
30 9 1
31 0 1
31 4 1
31 5 1
31 6 1
31 9 1
31 13 1
32 0 1
32 14 1
33 0 1
33 2 1
34 0 1
34 4 1
34 5 1
34 8 1
34 9 1
34 11 1
35 0 1
35 15 1
36 0 1
36 4 1
37 0 1
37 16 1
38 0 1
38 16 1
39 0 1
39 16 1
40 0 1
40 4 1
40 5 1
40 6 1
40 9 1
40 13 1
41 0 1
41 16 1
42 0 1
42 5 1
42 9 1
43 0 1
43 14 1
44 0 1
44 4 1
44 5 1
44 9 1
44 13 1
44 17 1
45 0 1
45 14 1
46 0 1
46 4 1
47 0 1
47 12 1
48 0 1
48 14 1
49 0 1
49 18 1
50 0 1
50 4 1
51 0 1
51 4 1
52 0 1
52 4 1
53 0 1
53 19 1
54 0 1
54 19 1
55 0 1
55 1 1
56 0 1
56 18 1
57 0 1
57 6 1
58 0 1
58 4 1
58 5 1
58 9 1
59 0 1
59 4 1
60 0 1
60 9 1
61 0 1
61 4 1
61 5 1
61 9 1
62 0 1
62 20 1
62 21 1
62 22 1
62 23 1
62 24 1
62 25 1
63 0 1
63 4 1
63 5 1
64 0 1
64 13 1
65 0 1
65 26 1
66 0 1
