25148 1005
0 0 1
0 1 1
1 2 1
1 3 1
2 2 1
2 4 1
3 5 1
3 6 1
4 5 1
4 7 1
5 8 1
5 9 1
6 10 1
6 11 1
7 12 1
7 13 1
8 12 1
8 14 1
9 15 1
9 16 1
10 17 1
10 18 1
11 12 1
11 19 1
12 20 1
12 21 1
13 20 1
13 22 1
14 23 1
14 24 1
14 25 1
14 26 1
14 27 1
14 28 1
14 29 1
14 30 1
14 31 1
14 32 1
14 33 1
14 34 1
14 35 1
14 36 1
14 37 1
14 38 1
14 39 1
14 40 1
15 41 1
15 42 1
16 43 1
16 44 1
17 45 1
17 46 1
18 47 1
18 48 1
19 49 1
19 50 1
20 41 1
20 51 1
21 52 1
21 53 1
22 54 1
22 55 1
22 56 1
22 57 1
22 58 1
22 59 1
23 60 1
23 61 1
24 54 1
25 62 1
25 63 1
26 64 1
26 65 1
27 4 1
27 62 1
28 66 1
28 67 1
29 68 1
29 69 1
30 70 1
30 71 1
31 21 1
31 72 1
32 73 1
32 74 1
33 48 1
33 75 1
33 76 1
34 77 1
34 78 1
35 77 1
35 79 1
36 68 1
36 80 1
36 81 1
37 19 1
37 62 1
38 82 1
38 83 1
39 21 1
39 22 1
40 82 1
40 84 1
41 41 1
41 42 1
41 85 1
41 86 1
41 87 1
42 82 1
42 86 1
43 88 1
43 89 1
44 90 1
44 91 1
45 20 1
45 92 1
46 41 1
46 42 1
46 51 1
46 85 1
46 87 1
46 93 1
46 94 1
46 95 1
47 88 1
47 89 1
47 96 1
48 97 1
48 98 1
48 99 1
48 100 1
48 101 1
48 102 1
49 103 1
49 104 1
50 82 1
50 83 1
50 84 1
50 105 1
51 90 1
51 106 1
52 62 1
52 107 1
53 66 1
53 108 1
53 109 1
53 110 1
53 111 1
53 112 1
54 113 1
54 114 1
55 115 1
55 116 1
56 117 1
56 118 1
57 76 1
57 119 1
58 17 1
58 120 1
59 82 1
59 83 1
59 84 1
59 86 1
59 105 1
59 121 1
60 122 1
60 123 1
61 124 1
61 125 1
