15128 1515
0 0 1
0 1 1
1 2 1
1 3 1
1 4 1
2 5 1
2 6 1
2 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
4 13 1
4 14 1
5 15 1
5 16 1
5 17 1
6 18 1
6 19 1
7 3 1
7 20 1
8 18 1
9 21 1
9 22 1
9 23 1
9 24 1
10 3 1
11 21 1
11 25 1
11 26 1
11 27 1
12 5 1
12 28 1
13 8 1
14 3 1
14 29 1
15 8 1
15 30 1
16 7 1
16 31 1
16 32 1
17 33 1
17 34 1
18 35 1
19 15 1
19 36 1
19 37 1
20 38 1
20 39 1
21 27 1
21 40 1
21 41 1
22 42 1
22 43 1
22 44 1
23 45 1
23 46 1
23 47 1
24 25 1
24 27 1
24 48 1
25 49 1
25 50 1
26 5 1
26 21 1
26 51 1
27 52 1
27 53 1
27 54 1
28 55 1
28 56 1
28 57 1
28 58 1
29 15 1
29 59 1
30 60 1
31 25 1
31 26 1
31 61 1
32 60 1
32 62 1
32 63 1
33 52 1
33 64 1
34 65 1
35 66 1
35 67 1
35 68 1
36 69 1
36 70 1
36 71 1
37 21 1
37 72 1
37 73 1
37 74 1
37 75 1
38 60 1
38 73 1
39 76 1
39 77 1
40 69 1
40 78 1
40 79 1
41 80 1
41 81 1
42 10 1
42 47 1
42 82 1
43 83 1
44 84 1
44 85 1
44 86 1
44 87 1
45 88 1
45 89 1
45 90 1
46 91 1
46 92 1
46 93 1
47 94 1
47 95 1
47 96 1
48 7 1
49 42 1
49 87 1
50 97 1
50 98 1
51 99 1
51 100 1
51 101 1
52 27 1
52 40 1
52 102 1
52 103 1
53 104 1
53 105 1
53 106 1
54 52 1
54 60 1
55 107 1
55 108 1
55 109 1
55 110 1
56 111 1
57 8 1
57 52 1
57 112 1
58 18 1
58 113 1
58 114 1
58 115 1
58 116 1
59 16 1
59 84 1
59 117 1
60 10 1
60 18 1
60 52 1
60 60 1
61 66 1
61 97 1
61 118 1
62 119 1
63 120 1
64 121 1
64 122 1
65 123 1
65 124 1
