85238 1324
0 0 1
1 1 1
1 2 1
1 3 1
1 4 1
2 5 1
2 6 1
2 7 1
3 8 1
3 9 1
3 10 1
4 11 1
4 12 1
4 13 1
4 14 1
5 8 1
5 15 1
6 16 1
6 17 1
6 18 1
6 19 1
7 20 1
7 21 1
8 22 1
9 7 1
9 23 1
9 24 1
10 16 1
10 25 1
10 26 1
10 27 1
10 28 1
11 8 1
11 9 1
11 15 1
11 29 1
12 16 1
12 26 1
12 30 1
13 1 1
13 31 1
13 32 1
14 8 1
14 9 1
14 33 1
14 34 1
15 16 1
15 22 1
16 35 1
16 36 1
17 8 1
17 9 1
17 16 1
17 34 1
17 37 1
18 38 1
19 23 1
19 39 1
20 16 1
21 9 1
21 40 1
22 10 1
22 41 1
23 33 1
23 42 1
23 43 1
23 44 1
24 41 1
25 45 1
25 46 1
26 8 1
26 47 1
27 5 1
27 23 1
28 8 1
28 9 1
28 48 1
29 5 1
29 8 1
30 11 1
30 23 1
30 49 1
31 8 1
31 9 1
31 34 1
31 50 1
32 51 1
33 7 1
33 52 1
34 11 1
35 53 1
36 8 1
36 40 1
36 54 1
36 55 1
37 5 1
37 53 1
37 56 1
37 57 1
38 31 1
38 47 1
38 58 1
39 22 1
39 59 1
39 60 1
39 61 1
40 38 1
40 42 1
41 16 1
41 30 1
42 62 1
43 49 1
43 51 1
44 63 1
44 64 1
45 23 1
45 65 1
45 66 1
46 8 1
46 67 1
47 34 1
47 68 1
48 8 1
48 40 1
48 66 1
48 69 1
49 70 1
50 38 1
50 47 1
51 22 1
51 42 1
52 31 1
52 63 1
53 8 1
53 9 1
53 71 1
54 5 1
54 72 1
54 73 1
55 8 1
55 9 1
55 41 1
56 15 1
56 74 1
57 8 1
57 9 1
57 41 1
57 75 1
58 23 1
58 76 1
59 22 1
59 48 1
59 77 1
60 43 1
60 78 1
60 79 1
61 31 1
61 63 1
61 80 1
62 39 1
62 81 1
63 11 1
63 82 1
63 83 1
64 84 1
65 31 1
65 85 1
66 5 1
67 7 1
67 23 1
67 39 1
68 8 1
68 41 1
68 51 1
68 75 1
69 16 1
69 22 1
69 25 1
70 8 1
70 40 1
70 41 1
70 86 1
71 87 1
72 17 1
72 88 1
73 17 1
73 42 1
73 89 1
73 90 1
74 8 1
74 9 1
74 41 1
74 75 1
74 84 1
75 7 1
75 39 1
75 91 1
76 9 1
76 17 1
76 19 1
76 34 1
77 72 1
77 92 1
78 5 1
78 93 1
79 1 1
79 3 1
80 2 1
80 84 1
80 94 1
80 95 1
81 72 1
81 96 1
82 97 1
82 98 1
83 22 1
83 99 1
83 100 1
84 1 1
85 33 1
86 5 1
86 16 1
87 20 1
87 101 1
87 102 1
87 103 1
88 31 1
88 104 1
89 20 1
89 45 1
89 48 1
89 54 1
90 1 1
90 32 1
90 105 1
91 21 1
91 51 1
91 106 1
92 17 1
93 16 1
93 107 1
94 8 1
94 9 1
94 40 1
94 108 1
95 9 1
95 39 1
95 109 1
95 110 1
96 15 1
96 31 1
96 111 1
97 31 1
97 97 1
98 1 1
98 53 1
98 112 1
99 15 1
99 31 1
99 113 1
99 114 1
99 115 1
100 31 1
100 55 1
100 58 1
100 63 1
100 116 1
101 5 1
101 53 1
102 9 1
102 117 1
103 118 1
104 82 1
104 119 1
104 120 1
105 22 1
105 58 1
106 16 1
106 43 1
106 121 1
107 37 1
107 39 1
107 81 1
108 39 1
108 51 1
109 8 1
109 55 1
109 64 1
110 113 1
110 122 1
110 123 1
110 124 1
111 43 1
111 65 1
112 20 1
112 101 1
112 102 1
112 125 1
113 38 1
113 126 1
113 127 1
113 128 1
114 23 1
114 49 1
114 96 1
114 129 1
115 8 1
115 9 1
115 41 1
115 77 1
116 2 1
116 23 1
116 38 1
116 126 1
117 20 1
118 8 1
118 9 1
118 130 1
119 5 1
119 93 1
119 108 1
120 131 1
120 132 1
121 2 1
121 113 1
121 133 1
122 124 1
123 91 1
124 5 1
124 72 1
124 96 1
125 2 1
125 22 1
125 72 1
126 16 1
126 25 1
127 17 1
127 134 1
128 22 1
128 114 1
128 135 1
128 136 1
129 2 1
130 137 1
131 113 1
132 138 1
133 72 1
134 108 1
134 139 1
135 16 1
135 140 1
136 5 1
136 22 1
136 141 1
136 142 1
137 5 1
137 22 1
137 34 1
138 17 1
138 143 1
138 144 1
138 145 1
139 77 1
139 130 1
140 96 1
141 146 1
142 8 1
142 9 1
142 34 1
142 147 1
143 18 1
143 72 1
144 23 1
144 41 1
144 84 1
145 5 1
145 108 1
146 2 1
146 113 1
147 2 1
147 16 1
147 148 1
148 5 1
148 149 1
148 150 1
149 137 1
149 151 1
150 152 1
150 153 1
151 38 1
151 154 1
152 143 1
152 155 1
153 9 1
153 16 1
153 78 1
153 156 1
154 38 1
154 137 1
155 22 1
155 157 1
156 23 1
156 31 1
156 97 1
157 22 1
157 114 1
157 135 1
158 20 1
158 158 1
158 159 1
158 160 1
159 5 1
159 22 1
160 2 1
160 16 1
160 22 1
160 161 1
161 65 1
161 72 1
161 90 1
161 92 1
161 162 1
162 22 1
162 93 1
162 163 1
163 39 1
163 42 1
164 0 1
164 164 1
165 165 1
165 166 1
165 167 1
166 1 1
166 168 1
167 8 1
167 40 1
168 2 1
168 5 1
169 5 1
169 8 1
169 9 1
169 53 1
170 0 1
170 16 1
170 42 1
170 149 1
170 169 1
171 17 1
171 42 1
171 149 1
171 153 1
172 16 1
172 22 1
172 148 1
173 0 1
173 42 1
173 86 1
173 170 1
174 5 1
174 22 1
174 93 1
175 5 1
175 108 1
175 171 1
176 22 1
176 93 1
176 114 1
176 172 1
177 22 1
177 62 1
177 173 1
178 38 1
178 137 1
178 174 1
179 22 1
179 114 1
179 142 1
180 8 1
180 33 1
180 34 1
181 20 1
181 101 1
181 125 1
182 2 1
182 101 1
182 102 1
183 52 1
183 72 1
183 162 1
184 5 1
184 175 1
185 5 1
185 162 1
185 176 1
186 39 1
186 101 1
187 9 1
187 20 1
187 22 1
187 114 1
188 9 1
188 39 1
189 177 1
190 8 1
190 9 1
190 87 1
191 77 1
191 137 1
192 56 1
192 65 1
192 96 1
193 23 1
193 31 1
193 133 1
193 178 1
194 22 1
194 93 1
195 11 1
195 49 1
195 179 1
196 22 1
196 133 1
197 42 1
197 101 1
197 102 1
197 180 1
197 181 1
198 20 1
198 22 1
199 137 1
199 146 1
200 31 1
200 182 1
201 8 1
201 41 1
201 75 1
201 133 1
202 8 1
202 23 1
203 17 1
203 51 1
203 183 1
204 5 1
204 9 1
204 65 1
205 42 1
205 49 1
205 51 1
206 7 1
206 78 1
207 0 1
207 184 1
208 137 1
208 143 1
209 9 1
209 15 1
209 96 1
210 65 1
210 185 1
211 171 1
212 23 1
212 186 1
212 187 1
213 10 1
213 31 1
213 67 1
213 188 1
213 189 1
214 16 1
214 25 1
214 190 1
214 191 1
215 2 1
215 23 1
215 133 1
216 9 1
216 41 1
216 113 1
217 192 1
218 8 1
219 20 1
219 22 1
219 153 1
219 158 1
220 8 1
220 10 1
221 20 1
221 40 1
221 159 1
222 5 1
222 41 1
222 87 1
222 97 1
223 22 1
223 193 1
224 82 1
225 53 1
225 71 1
225 133 1
226 0 1
226 63 1
226 157 1
226 184 1
227 5 1
227 97 1
228 2 1
228 194 1
228 195 1
229 65 1
230 2 1
230 16 1
230 196 1
231 5 1
231 48 1
231 77 1
232 197 1
232 198 1
233 51 1
233 113 1
234 0 1
234 17 1
234 199 1
235 1 1
235 200 1
235 201 1
236 22 1
236 39 1
237 77 1
237 86 1
237 130 1
237 202 1
238 5 1
238 68 1
239 2 1
239 5 1
239 126 1
240 53 1
240 96 1
240 133 1
241 23 1
241 31 1
242 5 1
242 7 1
242 51 1
243 2 1
243 23 1
243 33 1
243 203 1
243 204 1
244 22 1
244 99 1
245 8 1
245 17 1
245 86 1
246 2 1
246 82 1
247 9 1
247 45 1
248 11 1
248 205 1
249 200 1
250 39 1
251 52 1
251 54 1
252 20 1
252 206 1
253 41 1
253 67 1
253 207 1
254 42 1
254 77 1
254 164 1
255 34 1
256 208 1
257 22 1
257 172 1
258 16 1
258 51 1
259 22 1
259 23 1
259 142 1
260 17 1
260 72 1
261 22 1
261 153 1
262 2 1
262 93 1
263 39 1
263 118 1
263 209 1
264 5 1
264 33 1
264 38 1
265 41 1
265 113 1
265 210 1
266 101 1
266 211 1
267 22 1
267 194 1
268 143 1
269 41 1
269 113 1
270 22 1
270 114 1
270 212 1
271 197 1
272 2 1
272 8 1
272 9 1
273 41 1
273 166 1
274 17 1
274 183 1
275 20 1
275 51 1
276 22 1
276 213 1
277 82 1
277 214 1
277 215 1
278 118 1
278 216 1
279 39 1
279 211 1
280 113 1
280 133 1
280 217 1
281 82 1
281 214 1
282 53 1
282 206 1
282 218 1
283 20 1
283 176 1
284 51 1
284 183 1
285 0 1
285 22 1
286 31 1
286 32 1
287 63 1
288 146 1
288 219 1
289 84 1
289 94 1
290 0 1
290 42 1
291 17 1
291 51 1
292 58 1
292 112 1
293 17 1
293 22 1
293 31 1
293 142 1
294 20 1
294 190 1
295 22 1
295 23 1
295 114 1
295 158 1
296 67 1
296 137 1
297 7 1
297 58 1
298 51 1
298 82 1
298 220 1
299 72 1
299 153 1
300 2 1
300 132 1
300 133 1
301 43 1
301 45 1
301 51 1
302 9 1
302 41 1
302 75 1
302 86 1
303 40 1
303 44 1
303 53 1
303 221 1
304 31 1
304 222 1
305 0 1
305 42 1
305 43 1
305 51 1
306 133 1
306 223 1
307 113 1
307 131 1
307 132 1
308 5 1
308 107 1
309 0 1
309 42 1
309 170 1
310 2 1
310 113 1
310 224 1
311 16 1
311 53 1
311 225 1
312 51 1
312 226 1
313 65 1
313 68 1
313 108 1
314 137 1
314 208 1
314 221 1
315 5 1
315 72 1
315 227 1
316 22 1
316 41 1
316 62 1
316 114 1
316 143 1
317 22 1
317 228 1
318 53 1
318 225 1
318 229 1
319 22 1
319 93 1
319 114 1
320 20 1
320 22 1
320 230 1
321 5 1
321 36 1
321 113 1
321 159 1
322 87 1
322 97 1
322 162 1
323 82 1
323 84 1
324 131 1
324 231 1
325 24 1
325 97 1
326 5 1
326 101 1
327 22 1
327 108 1
328 7 1
328 20 1
328 40 1
328 200 1
329 5 1
329 65 1
330 58 1
331 51 1
331 104 1
332 41 1
332 75 1
332 113 1
333 33 1
333 137 1
334 114 1
335 65 1
335 72 1
336 41 1
336 51 1
336 75 1
336 153 1
337 108 1
337 171 1
338 5 1
338 65 1
338 92 1
339 38 1
339 97 1
340 133 1
341 8 1
341 9 1
342 84 1
342 98 1
342 194 1
343 38 1
343 53 1
344 16 1
344 71 1
345 22 1
345 46 1
345 93 1
346 42 1
346 126 1
346 127 1
346 137 1
347 15 1
347 40 1
348 16 1
348 25 1
348 37 1
349 16 1
349 196 1
350 132 1
351 78 1
351 79 1
352 194 1
353 53 1
353 200 1
354 82 1
354 133 1
355 15 1
355 31 1
356 17 1
356 82 1
357 113 1
357 186 1
358 101 1
359 8 1
359 55 1
359 64 1
359 80 1
359 116 1
360 39 1
360 231 1
361 84 1
361 98 1
362 5 1
362 53 1
362 56 1
362 78 1
362 79 1
363 53 1
363 232 1
364 51 1
364 96 1
365 8 1
365 233 1
366 9 1
366 15 1
366 22 1
367 5 1
367 149 1
368 49 1
369 5 1
369 25 1
370 25 1
370 234 1
371 232 1
372 51 1
372 235 1
373 126 1
373 137 1
374 108 1
374 113 1
375 33 1
375 43 1
375 72 1
375 78 1
376 236 1
377 53 1
377 65 1
378 49 1
378 51 1
378 237 1
379 51 1
379 65 1
379 92 1
380 82 1
380 238 1
381 49 1
381 51 1
381 177 1
382 9 1
382 58 1
382 84 1
383 43 1
383 239 1
384 11 1
384 89 1
384 179 1
384 240 1
385 20 1
385 22 1
385 41 1
386 42 1
386 51 1
387 39 1
387 241 1
387 242 1
388 16 1
388 153 1
389 2 1
389 22 1
390 53 1
390 206 1
391 186 1
391 225 1
391 243 1
392 17 1
392 137 1
393 62 1
393 244 1
394 245 1
395 211 1
396 22 1
396 114 1
397 49 1
397 51 1
397 179 1
398 4 1
398 20 1
398 72 1
398 246 1
398 247 1
399 44 1
399 129 1
399 221 1
400 5 1
400 72 1
401 15 1
401 67 1
402 17 1
402 42 1
403 51 1
403 53 1
404 71 1
404 141 1
404 232 1
404 248 1
405 9 1
405 34 1
405 132 1
406 96 1
406 249 1
407 96 1
407 225 1
408 42 1
409 16 1
409 25 1
409 191 1
409 250 1
410 51 1
410 251 1
411 68 1
411 252 1
412 113 1
412 210 1
413 15 1
413 253 1
414 51 1
414 93 1
415 93 1
416 31 1
417 20 1
417 200 1
418 53 1
418 254 1
419 137 1
419 255 1
420 200 1
420 218 1
421 64 1
421 211 1
421 256 1
422 17 1
422 257 1
423 23 1
423 39 1
423 97 1
423 225 1
424 8 1
424 87 1
425 40 1
426 0 1
426 42 1
426 72 1
427 39 1
427 82 1
428 5 1
428 41 1
428 75 1
429 2 1
429 16 1
429 161 1
430 113 1
430 217 1
430 258 1
430 259 1
431 17 1
431 140 1
432 5 1
432 6 1
433 93 1
433 260 1
434 53 1
434 232 1
434 261 1
435 58 1
435 255 1
436 25 1
436 97 1
437 39 1
437 51 1
437 177 1
438 132 1
438 147 1
439 17 1
439 19 1
439 51 1
440 65 1
440 71 1
440 232 1
441 23 1
442 16 1
442 42 1
442 149 1
443 53 1
443 96 1
443 225 1
444 262 1
445 58 1
445 263 1
446 39 1
446 81 1
446 118 1
447 15 1
448 2 1
448 8 1
448 34 1
448 51 1
449 53 1
449 72 1
449 96 1
450 5 1
450 41 1
450 264 1
451 17 1
451 153 1
452 16 1
452 25 1
452 196 1
453 41 1
453 194 1
454 130 1
454 153 1
455 37 1
456 3 1
456 6 1
456 101 1
456 102 1
457 39 1
457 49 1
457 177 1
458 133 1
458 225 1
459 51 1
459 168 1
460 17 1
460 130 1
461 53 1
461 171 1
462 51 1
462 65 1
463 2 1
463 8 1
463 9 1
463 40 1
464 8 1
464 39 1
465 84 1
465 265 1
466 9 1
466 151 1
467 225 1
467 266 1
468 113 1
468 131 1
469 56 1
469 221 1
469 267 1
470 23 1
470 94 1
471 53 1
471 225 1
471 232 1
472 51 1
472 268 1
473 33 1
473 38 1
473 137 1
474 0 1
474 130 1
474 143 1
475 133 1
475 269 1
476 225 1
477 82 1
477 214 1
477 238 1
478 8 1
478 51 1
478 270 1
479 5 1
479 20 1
480 20 1
480 40 1
480 67 1
481 16 1
481 25 1
481 42 1
482 93 1
482 153 1
483 51 1
483 72 1
483 73 1
484 132 1
484 133 1
485 8 1
485 23 1
485 175 1
486 78 1
486 93 1
