77132 62801
0 0 1
0 1 1
1 2 1
1 3 1
1 4 1
2 5 1
2 6 1
2 7 1
3 8 1
3 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
5 16 1
5 17 1
6 18 1
7 19 1
8 20 1
9 21 1
9 22 1
10 23 1
10 24 1
11 25 1
12 26 1
12 27 1
13 28 1
13 29 1
14 20 1
14 30 1
15 31 1
15 32 1
16 33 1
16 34 1
16 35 1
17 36 1
18 37 1
18 38 1
19 39 1
19 40 1
20 41 1
20 42 1
21 43 1
22 44 1
23 45 1
23 46 1
24 13 1
24 47 1
25 8 1
25 48 1
26 49 1
26 50 1
27 51 1
28 52 1
28 53 1
29 54 1
29 55 1
30 56 1
30 57 1
30 58 1
31 59 1
32 60 1
32 61 1
33 62 1
33 63 1
34 64 1
35 13 1
35 65 1
36 66 1
37 67 1
37 68 1
38 69 1
39 70 1
39 71 1
40 72 1
41 73 1
41 74 1
42 75 1
43 76 1
43 77 1
44 78 1
45 79 1
46 80 1
47 81 1
47 82 1
47 83 1
47 84 1
48 85 1
49 86 1
50 87 1
50 88 1
51 89 1
52 90 1
52 91 1
53 92 1
54 8 1
54 93 1
54 94 1
55 95 1
56 96 1
57 97 1
57 98 1
58 99 1
58 100 1
59 101 1
59 102 1
59 103 1
60 104 1
61 105 1
62 106 1
62 107 1
63 108 1
64 109 1
64 110 1
65 111 1
65 112 1
66 113 1
67 114 1
67 115 1
68 116 1
68 117 1
69 118 1
69 119 1
70 120 1
70 121 1
71 122 1
71 123 1
72 124 1
73 37 1
73 125 1
73 126 1
74 127 1
75 128 1
75 129 1
76 20 1
76 56 1
77 130 1
77 131 1
78 132 1
79 133 1
79 134 1
79 135 1
80 136 1
80 137 1
81 138 1
81 139 1
82 140 1
83 141 1
84 142 1
84 143 1
84 144 1
85 145 1
85 146 1
86 147 1
87 148 1
87 149 1
88 13 1
88 150 1
89 0 1
90 151 1
90 152 1
91 153 1
91 154 1
92 155 1
92 156 1
93 157 1
94 158 1
