AlgoName,AlgoOpt,deg,sz,pd,its,cch,dst,ov,sv,eff,avg
thera,8_0.5_6.0,4.0,1.0,14.0,20.0,27.0,5.0,25.0,1.0,26.0,13.666666666666666
thera,15_0.9_6.0,23.0,1.0,1.0,2.0,5.0,19.0,5.0,20.0,7.0,9.222222222222221
thera,8_0.5_10.0,1.0,1.0,3.0,23.0,23.0,1.0,20.0,2.0,24.0,10.88888888888889
thera,8_0.9_10.0,12.0,1.0,2.0,4.0,17.0,13.0,6.0,11.0,4.0,7.777777777777778
thera,15_0.7_2.0,21.0,1.0,21.0,13.0,22.0,16.0,17.0,24.0,18.0,17.0
thera,12_0.9_10.0,12.0,1.0,8.0,9.0,11.0,22.0,10.0,23.0,9.0,11.666666666666666
thera,12_0.7_10.0,16.0,1.0,11.0,15.0,8.0,24.0,7.0,9.0,17.0,12.0
thera,15_0.5_6.0,2.0,1.0,24.0,25.0,1.0,20.0,26.0,5.0,20.0,13.777777777777779
thera,15_0.7_6.0,18.0,1.0,15.0,12.0,7.0,10.0,12.0,13.0,16.0,11.555555555555555
thera,12_0.7_6.0,11.0,1.0,16.0,17.0,14.0,26.0,16.0,17.0,11.0,14.333333333333334
thera,12_0.9_6.0,24.0,1.0,5.0,3.0,4.0,6.0,2.0,22.0,1.0,7.555555555555555
thera,8_0.7_2.0,20.0,1.0,23.0,10.0,21.0,17.0,11.0,18.0,12.0,14.777777777777779
thera,8_0.5_2.0,9.0,1.0,22.0,16.0,3.0,8.0,19.0,12.0,25.0,12.777777777777779
thera,15_0.5_2.0,14.0,1.0,27.0,27.0,18.0,21.0,24.0,25.0,19.0,19.555555555555557
thera,12_0.5_2.0,10.0,1.0,25.0,22.0,9.0,3.0,23.0,14.0,27.0,14.88888888888889
thera,8_0.9_6.0,19.0,1.0,10.0,7.0,10.0,12.0,14.0,10.0,5.0,9.777777777777779
thera,12_0.5_6.0,6.0,1.0,13.0,21.0,13.0,14.0,21.0,3.0,21.0,12.555555555555555
thera,15_0.9_10.0,25.0,1.0,4.0,5.0,26.0,11.0,4.0,21.0,3.0,11.11111111111111
thera,12_0.7_2.0,22.0,1.0,26.0,19.0,6.0,7.0,18.0,27.0,14.0,15.555555555555555
thera,8_0.7_10.0,7.0,1.0,7.0,14.0,24.0,15.0,15.0,7.0,13.0,11.444444444444445
thera,15_0.7_10.0,16.0,1.0,12.0,18.0,20.0,23.0,9.0,15.0,15.0,14.333333333333334
thera,8_0.7_6.0,8.0,1.0,6.0,11.0,16.0,27.0,13.0,8.0,10.0,11.11111111111111
thera,12_0.9_2.0,26.0,1.0,19.0,6.0,12.0,9.0,1.0,16.0,6.0,10.666666666666666
thera,12_0.5_10.0,3.0,1.0,18.0,26.0,2.0,25.0,22.0,4.0,22.0,13.666666666666666
thera,8_0.9_2.0,15.0,1.0,20.0,1.0,15.0,18.0,3.0,19.0,8.0,11.11111111111111
thera,15_0.9_2.0,27.0,1.0,17.0,8.0,19.0,4.0,8.0,26.0,2.0,12.444444444444445
thera,15_0.5_10.0,5.0,1.0,9.0,24.0,25.0,2.0,27.0,6.0,23.0,13.555555555555555
