AlgoName,AlgoOpt,deg,sz,pd,its,cch,dst,ov,sv,eff,avg
hyperlap,-1,2.0,1.0,24.0,7.0,2.0,8.0,1.0,2.0,1.0,5.333333333333333
hypercl,-1,1.0,1.0,3.0,30.0,1.0,30.0,30.0,1.0,3.0,11.11111111111111
hyperpa,-1,3.0,3.0,1.0,29.0,3.0,1.0,3.0,30.0,2.0,8.333333333333334
thera,12_0.7_10.0,16.0,4.0,10.0,18.0,29.0,9.0,8.0,12.0,8.0,12.666666666666666
thera,8_0.5_6.0,4.0,4.0,5.0,20.0,19.0,20.0,22.0,6.0,13.0,12.555555555555555
thera,15_0.9_2.0,30.0,4.0,30.0,6.0,27.0,22.0,19.0,29.0,22.0,21.0
thera,8_0.5_10.0,4.0,4.0,2.0,21.0,6.0,3.0,10.0,11.0,6.0,7.444444444444445
thera,12_0.9_10.0,28.0,4.0,12.0,3.0,18.0,5.0,7.0,24.0,7.0,12.0
thera,15_0.5_2.0,12.0,4.0,25.0,28.0,7.0,27.0,27.0,23.0,30.0,20.333333333333332
thera,12_0.9_6.0,27.0,4.0,19.0,2.0,23.0,10.0,11.0,22.0,16.0,14.88888888888889
thera,8_0.9_2.0,24.0,4.0,26.0,8.0,24.0,15.0,18.0,16.0,24.0,17.666666666666668
thera,8_0.9_10.0,22.0,4.0,7.0,9.0,30.0,4.0,4.0,18.0,4.0,11.333333333333334
thera,12_0.5_2.0,11.0,4.0,23.0,25.0,11.0,28.0,28.0,20.0,29.0,19.88888888888889
thera,15_0.5_6.0,10.0,4.0,15.0,26.0,10.0,19.0,20.0,4.0,21.0,14.333333333333334
thera,12_0.7_6.0,15.0,4.0,17.0,15.0,28.0,17.0,16.0,10.0,17.0,15.444444444444445
thera,15_0.7_10.0,17.0,4.0,11.0,19.0,22.0,11.0,9.0,19.0,14.0,14.0
thera,15_0.7_6.0,19.0,4.0,18.0,17.0,16.0,12.0,12.0,17.0,20.0,15.0
thera,15_0.5_10.0,9.0,4.0,8.0,27.0,14.0,16.0,14.0,8.0,15.0,12.777777777777779
thera,15_0.9_6.0,29.0,4.0,20.0,5.0,21.0,6.0,6.0,27.0,18.0,15.11111111111111
thera,8_0.7_2.0,18.0,4.0,22.0,11.0,9.0,26.0,26.0,15.0,25.0,17.333333333333332
thera,12_0.5_10.0,6.0,4.0,9.0,24.0,8.0,13.0,13.0,9.0,9.0,10.555555555555555
thera,12_0.9_2.0,25.0,4.0,29.0,1.0,26.0,23.0,21.0,26.0,23.0,19.77777777777778
thera,8_0.7_6.0,14.0,4.0,6.0,12.0,12.0,18.0,17.0,5.0,11.0,11.0
thera,8_0.9_6.0,22.0,4.0,13.0,10.0,17.0,14.0,15.0,14.0,10.0,13.222222222222221
thera,8_0.7_10.0,13.0,4.0,4.0,13.0,5.0,2.0,2.0,7.0,5.0,6.111111111111111
thera,15_0.9_10.0,25.0,4.0,16.0,4.0,25.0,7.0,5.0,28.0,12.0,14.0
thera,8_0.5_2.0,7.0,4.0,21.0,22.0,4.0,29.0,29.0,13.0,27.0,17.333333333333332
thera,15_0.7_2.0,21.0,4.0,28.0,16.0,20.0,24.0,24.0,25.0,26.0,20.88888888888889
thera,12_0.7_2.0,19.0,4.0,27.0,14.0,15.0,25.0,25.0,21.0,28.0,19.77777777777778
thera,12_0.5_6.0,8.0,4.0,14.0,23.0,13.0,21.0,23.0,3.0,19.0,14.222222222222221
