R2score (p_value<0.05),Degree,Size,Pair Degree,Intersection Size,Singular Value,Clustering Coef.,Density,Overlapness
email-Enron,1.00 (0.00),0.97 (0.00),0.96 (0.74),0.97 (0.04),0.99 (0.00),0.95 (0.00),0.44 (0.01),0.71 (0.00)
email-Eu,0.92 (0.00),0.96 (0.00),0.92 (0.00),0.99 (0.58),0.96 (0.00),0.95 (0.00),0.93 (0.00),0.92 (0.11)
contact-high,0.99 (0.00),0.98 (0.09),0.94 (0.03),0.93 (0.51),0.96 (0.00),0.89 (0.00),0.94 (0.54),0.91 (0.00)
contact-primary,0.97 (0.00),0.97 (0.12),0.94 (0.09),0.95 (0.52),0.98 (0.00),0.91 (0.00),0.98 (0.00),0.98 (0.22)
NDC-classes,0.99 (0.91),0.97 (0.00),0.78 (0.00),0.66 (0.51),0.99 (0.00),0.99 (0.00),0.83 (0.00),0.89 (0.03)
NDC-substances,0.98 (0.00),0.94 (0.00),0.96 (0.00),0.96 (0.31),0.96 (0.00),0.99 (0.00),0.82 (0.00),0.96 (0.00)
tags-ubuntu,1.00 (0.00),1.00 (0.00),0.90 (0.00),0.95 (0.54),0.99 (0.00),0.96 (0.00),0.97 (0.00),0.97 (0.00)
tags-math,1.00 (0.00),1.00 (0.00),0.88 (0.00),0.93 (0.54),0.96 (0.00),0.97 (0.00),0.97 (0.00),0.97 (0.00)
threads-ubuntu,1.00 (0.00),0.97 (0.01),0.90 (0.00),1.00 (0.47),0.99 (0.00),0.77 (0.00),1.00 (0.00),1.00 (0.00)
threads-math,1.00 (0.00),0.98 (0.00),0.93 (0.00),0.99 (0.69),0.99 (0.00),0.92 (0.00),0.99 (0.00),1.00 (0.00)
coauth-Geology,0.94 (0.00),0.99 (0.00),0.99 (0.00),0.99 (0.04),1.00 (0.00),0.94 (0.00),0.95 (0.00),0.98 (0.52)
coauth-History,0.99 (0.00),1.00 (0.00),0.82 (0.00),0.95 (0.00),0.99 (0.00),0.57 (0.04),0.16 (0.57),0.99 (0.00)
house-bills,0.99 (0.00),0.97 (0.00),0.87 (0.00),0.98 (0.00),0.98 (0.00),0.99 (0.00),0.84 (0.00),0.82 (0.00)
senate-bills,0.94 (0.00),0.97 (0.00),0.79 (0.00),0.95 (0.00),0.97 (0.00),1.00 (0.00),0.73 (0.00),0.73 (0.00)
house-committees,0.95 (0.00),0.92 (0.00),0.91 (0.00),0.95 (0.20),0.96 (0.00),1.00 (0.00),0.87 (0.00),0.97 (0.00)
senate-committees,0.96 (0.00),0.81 (0.00),0.89 (0.01),0.92 (0.02),0.94 (0.00),1.00 (0.00),0.96 (0.00),0.97 (0.00)
trivago-clicks,0.96 (0.00),0.99 (0.00),0.99 (0.05),0.99 (0.06),1.00 (0.00),0.97 (0.00),0.93 (0.00),0.99 (0.00)
walmart-trips,0.99 (0.00),0.98 (0.00),0.96 (0.00),0.98 (0.13),1.00 (0.00),0.91 (0.00),0.98 (0.00),1.00 (0.00)
